,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República de Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimaciones y proyecciones de la población total según sexo y edad. Revisión 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Período 1950 - 2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(al 30 de junio de cada año),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexo y grupos de edad,        Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ambos sexos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"3,123,095","3,206,515","3,293,440","3,383,981","3,478,260","3,576,393","3,678,500","3,784,721","3,895,164","4,009,905","4,128,880","4,251,911","4,378,604","4,508,444","4,640,795","4,774,984","4,910,790","5,047,435","5,184,095","5,320,100","5,455,197","5,589,563","5,723,759","5,858,466","5,994,300","6,131,151","6,269,983","6,412,667","6,561,919","6,720,582","6,890,346","7,071,186","7,262,658","7,462,585","7,669,863","7,884,034","8,104,921","8,332,446","8,566,331","8,805,995","9,050,115","9,296,814","9,544,055","9,790,619","10,037,522","10,286,786","10,536,942","10,788,362","11,046,215","11,311,078","11,589,761","11,871,565","12,147,518","12,415,334","12,682,108","12,948,292","13,213,330","13,477,017","13,739,299","14,000,190","14,259,687","14,521,515","14,781,942","15,043,981","15,306,316","15,567,419","15,827,690","16,087,418","16,346,950","16,604,026","16,858,333","17,109,746","17,357,886","17,602,431","17,843,132","18,079,810","18,312,373","18,540,770","18,764,984","18,985,066","19,201,062","19,413,049","19,621,108","19,825,325","20,025,745","20,222,438","20,415,445","20,604,788","20,790,470","20,972,450","21,150,662","21,325,024","21,495,449","21,661,826","21,824,043","21,981,979","22,135,523","22,284,549","22,428,939","22,568,564","22,703,298"
0 a 4,"573,095","588,823","605,604","623,442","642,318","662,177","682,549","703,672","725,557","748,216","771,645","795,820","820,654","846,053","871,847","897,887","924,258","950,905","977,650","1,004,350","1,031,221","1,057,606","1,083,447","1,108,810","1,133,806","1,158,585","1,183,372","1,208,460","1,234,238","1,260,895","1,288,994","1,318,708","1,350,108","1,382,733","1,416,280","1,450,455","1,485,000","1,519,504","1,553,879","1,587,798","1,620,848","1,652,522","1,682,265","1,709,579","1,734,650","1,757,248","1,776,535","1,792,080","1,809,211","1,828,581","1,857,057","1,883,931","1,900,526","1,897,612","1,888,519","1,867,260","1,845,139","1,831,513","1,831,438","1,831,436","1,831,677","1,835,951","1,840,483","1,848,389","1,858,346","1,868,690","1,875,914","1,883,801","1,889,295","1,890,427","1,887,973","1,881,462","1,870,482","1,855,091","1,837,747","1,819,395","1,800,354","1,780,957","1,761,519","1,742,316","1,723,567","1,705,441","1,688,058","1,671,480","1,655,731","1,640,808","1,626,668","1,613,247","1,600,459","1,588,185","1,576,298","1,564,670","1,553,181","1,541,723","1,530,217","1,518,606","1,506,851","1,494,924","1,482,808","1,470,483","1,457,936"
0,"133,477","137,347","141,101","144,994","149,032","153,214","157,547","162,032","166,672","171,465","176,403","181,472","186,616","191,825","197,056","202,306","208,151","213,992","219,726","225,316","230,741","236,006","241,141","246,193","251,204","255,975","260,786","265,708","270,858","276,352","282,239","288,498","295,074","301,596","308,203","314,831","321,430","327,941","334,301","340,425","346,207","351,509","356,202","360,214","363,598","366,346","368,343","369,698","375,633","381,571","393,484","393,931","384,981","371,135","371,044","370,851","370,631","370,478","370,404","370,385","370,422","374,228","374,364","377,678","379,740","380,183","380,820","381,618","382,464","380,494","377,500","374,196","370,614","366,819","362,885","358,884","354,888","350,953","347,121","343,426","339,887","336,523","333,335","330,318","327,465","324,760","322,189","319,729","317,349","315,018","312,708","310,402","308,083","305,738","303,361","300,948","298,499","296,011","293,477","290,894","288,262"
1,"119,651","122,883","126,783","130,588","134,537","138,634","142,877","147,277","151,832","156,546","161,418","166,439","171,596","176,833","182,129","187,446","192,389","197,923","203,456","208,894","214,205","219,377","224,419","229,363","234,251","239,371","244,285","249,273","254,413","259,816","265,583","271,738","278,259","285,147","291,976","298,889","305,828","312,743","319,575","326,259","332,700","338,789","344,388","349,376","353,796","357,626","360,649","362,854","364,430","370,536","376,656","388,699","389,410","380,852","367,260","367,282","367,189","367,069","367,026","367,062","367,152","367,297","371,184","371,427","374,827","376,986","377,538","378,283","379,202","379,860","377,911","374,946","371,672","368,123","364,361","360,460","356,494","352,532","348,630","344,831","341,168","337,659","334,325","331,165","328,175","325,347","322,667","320,120","317,682","315,325","313,015","310,727","308,442","306,145","303,821","301,466","299,075","296,647","294,181","291,669","289,108"
2,"112,477","115,512","118,752","122,641","126,443","130,392","134,488","138,732","143,134","147,692","152,409","157,284","162,306","167,461","172,686","177,959","183,230","188,142","193,628","199,110","204,503","209,780","214,934","219,976","224,936","229,855","235,021","240,015","245,124","250,423","256,008","261,955","268,282","274,867","281,803","288,677","295,638","302,628","309,596","316,482","323,209","329,679","335,783","341,395","346,522","351,129","355,150","358,281","360,602","362,302","368,521","374,764","386,916","387,792","379,294","365,778","365,843","365,794","365,722","365,726","365,810","365,948","366,139","370,065","370,354","373,795","376,001","376,602","377,407","378,352","379,027","377,102","374,160","370,910","367,384","363,644","359,765","355,821","351,879","347,997","344,217","340,573","337,082","333,765","330,621","327,646","324,833","322,167","319,634","317,209","314,864","312,566","310,289","308,016","305,730","303,417","301,072","298,691","296,273","293,816","291,313"
3,"106,282","109,147","112,180","115,413","119,283","123,072","127,007","131,090","135,320","139,709","144,253","148,952","153,805","158,800","163,914","169,085","174,299","179,516","184,373","189,789","195,204","200,541","205,779","210,912","215,948","220,911","225,852","231,070","236,161","241,412","246,876","252,624","258,724","265,146","271,811","278,820","285,772","292,816","299,892","306,947","313,909","320,696","327,210","333,356","339,151","344,514","349,271","353,347","356,542","358,936","360,719","367,017","373,345","385,574","386,458","377,996","364,544","364,646","364,633","364,598","364,638","364,757","364,931","365,157","369,112","369,437","372,913","375,155","375,803","376,632","377,596","378,293","376,391","373,473","370,246","366,742","363,024","359,166","355,242","351,320","347,456","343,694","340,068","336,594","333,292","330,163","327,202","324,403","321,751","319,230","316,817","314,484","312,197","309,931","307,668","305,392","303,089","300,753","298,382","295,972","293,523"
4,"101,208","103,934","106,788","109,806","113,023","116,865","120,630","124,541","128,599","132,804","137,162","141,673","146,331","151,134","156,062","161,091","166,189","171,332","176,467","181,241","186,568","191,902","197,174","202,366","207,467","212,473","217,428","222,394","227,682","232,892","238,288","243,893","249,769","255,977","262,487","269,238","276,332","283,376","290,515","297,685","304,823","311,849","318,682","325,238","331,583","337,633","343,122","347,900","352,004","355,236","357,677","359,520","365,874","372,259","384,463","385,353","376,932","363,526","363,653","363,665","363,655","363,721","363,865","364,062","364,313","368,289","368,642","372,143","374,419","375,089","375,939","376,925","377,645","375,766","372,871","369,665","366,183","362,485","358,647","354,742","350,839","346,992","343,248","339,638","336,178","332,892","329,777","326,828","324,043","321,403","318,894","316,491","314,170","311,893","309,637","307,383","305,116","302,822","300,495","298,132","295,730"
5 a 9,"451,741","463,880","476,452","489,503","503,118","517,404","532,890","549,393","566,929","585,470","604,957","624,918","645,545","666,807","688,591","710,803","733,465","756,624","780,159","803,918","827,451","851,267","875,412","899,869","924,610","949,775","974,793","999,746","1,024,917","1,050,871","1,077,591","1,105,096","1,133,390","1,162,350","1,191,875","1,222,387","1,254,050","1,287,112","1,321,306","1,356,394","1,392,018","1,427,781","1,463,136","1,497,986","1,532,948","1,568,066","1,602,602","1,635,323","1,665,632","1,693,103","1,717,256","1,737,860","1,754,975","1,774,055","1,795,127","1,824,953","1,852,942","1,870,532","1,868,353","1,859,979","1,839,469","1,818,061","1,805,115","1,805,668","1,806,283","1,807,144","1,812,004","1,817,175","1,825,726","1,836,377","1,847,476","1,855,488","1,864,141","1,870,015","1,871,734","1,869,877","1,863,954","1,853,556","1,838,732","1,821,935","1,804,117","1,785,589","1,766,686","1,747,727","1,728,982","1,710,672","1,692,968","1,675,982","1,659,783","1,644,400","1,629,825","1,616,019","1,602,914","1,590,431","1,578,448","1,566,842","1,555,483","1,544,255","1,533,047","1,521,785","1,510,410"
5,"97,019","99,629","102,344","105,184","108,187","111,386","115,203","118,946","122,834","126,865","131,041","135,365","139,834","144,439","149,169","154,003","158,951","163,968","169,018","174,052","178,730","183,962","189,218","194,430","199,578","204,627","209,601","214,562","219,585","224,978","230,323","235,848","241,570","247,537","253,815","260,389","267,203","274,365","281,478","288,684","295,905","303,071","310,102","316,935","323,661","330,236","336,413","341,910","346,704","350,834","354,103","356,594","358,491","364,902","371,268","383,464","384,377","375,988","362,611","362,756","362,787","362,795","362,880","363,041","363,254","363,524","367,518","367,894","371,418","373,710","374,402","375,277","376,287","377,029","375,174","372,301","369,117","365,656","361,978","358,160","354,273","350,388","346,559","342,831","339,236","335,792","332,520","329,419","326,483","323,710","321,082","318,585","316,192","313,882","311,615","309,368","307,123","304,866","302,580","300,261","297,906"
